Model_Num,Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result Set Returned,Min_Execution_Time,Max_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time,Avg_Execution_Time
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2604310,3406477,802875,12.344932556152344,17.13021755218506,12.543821573257446,1.8514638873811284,13.436710262298584
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,5807056,5994361,188023,3.0053019523620605,3.50299334526062,3.2581167221069336,0.1858960370751399,3.217358875274658
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,5097815,5114624,16907,0.22087502479553223,0.41576504707336426,0.22485089302062988,0.07650015225703627,0.2628500938415527
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,3407388,5183060,1775768,28.111889839172363,29.266253232955933,28.868499994277954,0.4337773999668238,28.716961574554443
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,5815090,5949322,135082,2.182749032974243,2.969301223754883,2.4456005096435547,0.2755934381816612,2.4667884349822997
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,3970713,4160198,189218,2.7953972816467285,3.103224277496338,3.0702223777770996,0.14417428349180658,2.9714986801147463
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,266970,3502269,3235687,49.07191514968872,72.25964641571045,65.9852364063263,8.359766988341764,64.87869849205018
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2164895,5541674,3376974,163.0436179637909,190.65613651275635,165.2534098625183,10.169358844427698,171.25182008743286
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2415605,3246854,831395,19.634744882583618,28.024940252304077,20.49729084968567,3.1077022916153556,22.039183378219604
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,4677969,5897459,1219931,29.921854496002197,31.177153825759888,30.827361822128296,0.4627794998439224,30.626269006729125
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,2604310,3406477,802875,18.633338928222656,19.20000910758972,18.77225661277771,0.2015738779905312,18.84281997680664
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,5807056,5994361,188023,4.629332065582275,5.292991638183594,4.688296318054199,0.24406393139932928,4.814045572280884
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,5097815,5114624,16907,0.33180904388427734,0.6226418018341064,0.33682918548583984,0.11377539752297988,0.39577789306640626
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,3407388,5183060,1775768,41.89600110054016,47.90858173370361,46.05964207649231,2.260903226126339,45.24710121154785
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,5815090,5949322,135082,3.1391823291778564,5.2590110301971436,3.3230786323547363,0.7820702208301589,3.7172728061676024
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,3970713,4160198,189218,4.402478456497192,4.823241233825684,4.540379762649536,0.14950394972640244,4.5955675601959225
Model_6,lineitem_table,L_ORDERKEY,JOIN QUERY,266970,3502269,3235687,80.75878143310547,167.3542149066925,144.2084550857544,29.253886823004148,136.30160136222838
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2164895,5541674,3376974,162.47001886367798,228.83303785324097,181.87992334365845,22.450108145143123,186.53144731521607
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2415605,3246854,831395,20.718162775039673,28.318793773651123,24.446989059448242,2.997528978492774,24.669867181777953
Model_7,order_table,O_ORDERKEY,JOIN QUERY,4677969,5897459,1219931,29.902867317199707,32.34449052810669,30.158761978149414,0.8880611618271379,30.616478729248048
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2604310,3406477,802875,19.092076301574707,20.186429023742676,19.63875961303711,0.42593774719447003,19.602777194976806
Model_7,order_table,O_ORDERKEY,JOIN QUERY,5807056,5994361,188023,4.309533596038818,5.078072547912598,4.707305192947388,0.2577605267493452,4.713302564620972
Model_7,order_table,O_ORDERKEY,JOIN QUERY,5097815,5114624,16907,0.32581424713134766,0.8974690437316895,0.33482933044433594,0.2257354078788531,0.44614086151123045
Model_7,order_table,O_ORDERKEY,JOIN QUERY,3407388,5183060,1775768,42.276824951171875,44.854331970214844,44.759382486343384,0.9757763576594676,44.17432036399841
Model_7,order_table,O_ORDERKEY,JOIN QUERY,5815090,5949322,135082,3.366089105606079,7.028979778289795,3.511993169784546,1.4162469904606723,4.200400018692017
Model_7,order_table,O_ORDERKEY,JOIN QUERY,3970713,4160198,189218,4.520407199859619,6.060531854629517,4.536401987075806,0.6065051433617376,4.848425197601318
Model_7,order_table,O_ORDERKEY,JOIN QUERY,266970,3502269,3235687,79.40157556533813,160.07740330696106,146.33523511886597,29.460175170334438,136.24921646118165
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2164895,5541674,844200,6.408350706100464,14.336724519729614,6.983003854751587,3.735416541430461,9.656059789657593
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2415605,3246854,207815,1.5191442966461182,1.8259549140930176,1.6250700950622559,0.11028961539165655,1.639661693572998
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,4677969,5897459,304872,2.255709171295166,2.687464952468872,2.370622158050537,0.15707053165396143,2.429799509048462
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2604310,3406477,200544,1.4671590328216553,1.8599376678466797,1.4911270141601562,0.1630164884795742,1.6084837436676025
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,5807056,5994361,46824,0.304826021194458,0.41376328468322754,0.3108212947845459,0.04153783526629037,0.3312103271484375
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,5097815,5114624,4201,0.0279843807220459,0.07793569564819336,0.030003070831298828,0.019365628943861304,0.039377450942993164
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,3407388,5183060,443920,3.297090768814087,3.6349196434020996,3.37307071685791,0.1262321960435125,3.4198391914367674
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,5815090,5949322,33560,0.21787524223327637,0.501713752746582,0.22587180137634277,0.12147759930102028,0.31962170600891116
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,3970713,4160198,47375,0.30782413482666016,0.4167623519897461,0.32981133460998535,0.03781920161138865,0.3435990333557129
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,266970,3502269,808824,6.036547422409058,6.624209403991699,6.272409200668335,0.23394359318384614,6.333579587936401
